district,value,nutrient
Balaka,96.04,calcium
Balaka,96.04,calcium
Blantyre,95.71,calcium
Blantyre,95.71,calcium
Blantyre City,98.15,calcium
Blantyre City,98.15,calcium
Chikwawa,94.82,calcium
Chikwawa,94.82,calcium
Chiradzulu,95.75,calcium
Chiradzulu,95.75,calcium
Chitipa,93.8,calcium
Chitipa,93.8,calcium
Dedza,88.49,calcium
Dedza,88.49,calcium
Dowa,89.54,calcium
Dowa,89.54,calcium
Karonga,97.25,calcium
Karonga,97.25,calcium
Kasungu,91.49,calcium
Kasungu,91.49,calcium
Likoma,96.74,calcium
Likoma,96.74,calcium
Lilongwe,92.71,calcium
Lilongwe,92.71,calcium
Lilongwe City,97.97,calcium
Lilongwe City,97.97,calcium
Machinga,94.45,calcium
Machinga,94.45,calcium
Mangochi,96.2,calcium
Mangochi,96.2,calcium
Mchinji,89.89,calcium
Mchinji,89.89,calcium
Mulanje,96.74,calcium
Mulanje,96.74,calcium
Mwanza,95.69,calcium
Mwanza,95.69,calcium
Mzimba,95.12,calcium
Mzimba,95.12,calcium
Mzuzu City,95.62,calcium
Mzuzu City,95.62,calcium
Neno,96.99,calcium
Neno,96.99,calcium
Nkhata Bay,98.63,calcium
Nkhata Bay,98.63,calcium
Nkhotakota,96.47,calcium
Nkhotakota,96.47,calcium
Nsanje,93.86,calcium
Nsanje,93.86,calcium
Ntcheu,90.56,calcium
Ntcheu,90.56,calcium
Ntchisi,93.48,calcium
Ntchisi,93.48,calcium
Phalombe,95.56,calcium
Phalombe,95.56,calcium
Rumphi,97.69,calcium
Rumphi,97.69,calcium
Salima,91.5,calcium
Salima,91.5,calcium
Thyolo,97.57,calcium
Thyolo,97.57,calcium
Zomba,95.77,calcium
Zomba,95.77,calcium
Zomba City,96.88,calcium
Zomba City,96.88,calcium
