nutrient,district,value
folate,Balaka,83.25
folate,Balaka,83.25
folate,Blantyre,86.51
folate,Blantyre,86.51
folate,Blantyre City,87.68
folate,Blantyre City,87.68
folate,Chikwawa,90.14
folate,Chikwawa,90.14
folate,Chiradzulu,86.77
folate,Chiradzulu,86.77
folate,Chitipa,92.59
folate,Chitipa,92.59
folate,Dedza,78.61
folate,Dedza,78.61
folate,Dowa,80.39
folate,Dowa,80.39
folate,Karonga,84.2
folate,Karonga,84.2
folate,Kasungu,83.27
folate,Kasungu,83.27
folate,Likoma,80.31
folate,Likoma,80.31
folate,Lilongwe,81.42
folate,Lilongwe,81.42
folate,Lilongwe City,87.78
folate,Lilongwe City,87.78
folate,Machinga,81.76
folate,Machinga,81.76
folate,Mangochi,84.36
folate,Mangochi,84.36
folate,Mchinji,84.19
folate,Mchinji,84.19
folate,Mulanje,91.32
folate,Mulanje,91.32
folate,Mwanza,87.72
folate,Mwanza,87.72
folate,Mzimba,86.26
folate,Mzimba,86.26
folate,Mzuzu City,82.62
folate,Mzuzu City,82.62
folate,Neno,92.13
folate,Neno,92.13
folate,Nkhata Bay,90.1
folate,Nkhata Bay,90.1
folate,Nkhotakota,83.1
folate,Nkhotakota,83.1
folate,Nsanje,90.24
folate,Nsanje,90.24
folate,Ntcheu,84.69
folate,Ntcheu,84.69
folate,Ntchisi,85.38
folate,Ntchisi,85.38
folate,Phalombe,89.96
folate,Phalombe,89.96
folate,Rumphi,91.01
folate,Rumphi,91.01
folate,Salima,82.14
folate,Salima,82.14
folate,Thyolo,90.67
folate,Thyolo,90.67
folate,Zomba,84.48
folate,Zomba,84.48
folate,Zomba City,85.89
folate,Zomba City,85.89
