nutrient,district,value
kilocalories,Balaka,84.62
kilocalories,Balaka,84.62
kilocalories,Blantyre,88.02
kilocalories,Blantyre,88.02
kilocalories,Blantyre City,92.46
kilocalories,Blantyre City,92.46
kilocalories,Chikwawa,86.71
kilocalories,Chikwawa,86.71
kilocalories,Chiradzulu,90.45
kilocalories,Chiradzulu,90.45
kilocalories,Chitipa,90.05
kilocalories,Chitipa,90.05
kilocalories,Dedza,83.88
kilocalories,Dedza,83.88
kilocalories,Dowa,83.55
kilocalories,Dowa,83.55
kilocalories,Karonga,88.78
kilocalories,Karonga,88.78
kilocalories,Kasungu,87.22
kilocalories,Kasungu,87.22
kilocalories,Likoma,93.77
kilocalories,Likoma,93.77
kilocalories,Lilongwe,84.88
kilocalories,Lilongwe,84.88
kilocalories,Lilongwe City,90.79
kilocalories,Lilongwe City,90.79
kilocalories,Machinga,86.29
kilocalories,Machinga,86.29
kilocalories,Mangochi,86.86
kilocalories,Mangochi,86.86
kilocalories,Mchinji,87.85
kilocalories,Mchinji,87.85
kilocalories,Mulanje,90.55
kilocalories,Mulanje,90.55
kilocalories,Mwanza,87.06
kilocalories,Mwanza,87.06
kilocalories,Mzimba,88.48
kilocalories,Mzimba,88.48
kilocalories,Mzuzu City,89.73
kilocalories,Mzuzu City,89.73
kilocalories,Neno,90.74
kilocalories,Neno,90.74
kilocalories,Nkhata Bay,91.45
kilocalories,Nkhata Bay,91.45
kilocalories,Nkhotakota,87.14
kilocalories,Nkhotakota,87.14
kilocalories,Nsanje,85.21
kilocalories,Nsanje,85.21
kilocalories,Ntcheu,87.39
kilocalories,Ntcheu,87.39
kilocalories,Ntchisi,88.28
kilocalories,Ntchisi,88.28
kilocalories,Phalombe,87.51
kilocalories,Phalombe,87.51
kilocalories,Rumphi,93.05
kilocalories,Rumphi,93.05
kilocalories,Salima,83.7
kilocalories,Salima,83.7
kilocalories,Thyolo,89.69
kilocalories,Thyolo,89.69
kilocalories,Zomba,89.61
kilocalories,Zomba,89.61
kilocalories,Zomba City,92.79
kilocalories,Zomba City,92.79
