nutrient,district,value
niacin,Balaka,65.95
niacin,Balaka,65.95
niacin,Blantyre,68.48
niacin,Blantyre,68.48
niacin,Blantyre City,77.6
niacin,Blantyre City,77.6
niacin,Chikwawa,72.37
niacin,Chikwawa,72.37
niacin,Chiradzulu,74.71
niacin,Chiradzulu,74.71
niacin,Chitipa,78.09
niacin,Chitipa,78.09
niacin,Dedza,68.25
niacin,Dedza,68.25
niacin,Dowa,64.29
niacin,Dowa,64.29
niacin,Karonga,69.04
niacin,Karonga,69.04
niacin,Kasungu,66.29
niacin,Kasungu,66.29
niacin,Likoma,64.8
niacin,Likoma,64.8
niacin,Lilongwe,68.17
niacin,Lilongwe,68.17
niacin,Lilongwe City,74.62
niacin,Lilongwe City,74.62
niacin,Machinga,66.24
niacin,Machinga,66.24
niacin,Mangochi,67.78
niacin,Mangochi,67.78
niacin,Mchinji,68.93
niacin,Mchinji,68.93
niacin,Mulanje,80.41
niacin,Mulanje,80.41
niacin,Mwanza,69.67
niacin,Mwanza,69.67
niacin,Mzimba,69.14
niacin,Mzimba,69.14
niacin,Mzuzu City,71.84
niacin,Mzuzu City,71.84
niacin,Neno,73.98
niacin,Neno,73.98
niacin,Nkhata Bay,73.21
niacin,Nkhata Bay,73.21
niacin,Nkhotakota,67.6
niacin,Nkhotakota,67.6
niacin,Nsanje,68.5
niacin,Nsanje,68.5
niacin,Ntcheu,76.44
niacin,Ntcheu,76.44
niacin,Ntchisi,70.96
niacin,Ntchisi,70.96
niacin,Phalombe,79.19
niacin,Phalombe,79.19
niacin,Rumphi,79.9
niacin,Rumphi,79.9
niacin,Salima,69.51
niacin,Salima,69.51
niacin,Thyolo,73.05
niacin,Thyolo,73.05
niacin,Zomba,70.06
niacin,Zomba,70.06
niacin,Zomba City,77.61
niacin,Zomba City,77.61
