nutrient,district,value
proteins,Balaka,96.12
proteins,Balaka,96.12
proteins,Blantyre,97.09
proteins,Blantyre,97.09
proteins,Blantyre City,98.2
proteins,Blantyre City,98.2
proteins,Chikwawa,98.21
proteins,Chikwawa,98.21
proteins,Chiradzulu,97.4
proteins,Chiradzulu,97.4
proteins,Chitipa,97.05
proteins,Chitipa,97.05
proteins,Dedza,95.06
proteins,Dedza,95.06
proteins,Dowa,95.26
proteins,Dowa,95.26
proteins,Karonga,95.43
proteins,Karonga,95.43
proteins,Kasungu,96.96
proteins,Kasungu,96.96
proteins,Likoma,97.52
proteins,Likoma,97.52
proteins,Lilongwe,95.99
proteins,Lilongwe,95.99
proteins,Lilongwe City,98.31
proteins,Lilongwe City,98.31
proteins,Machinga,96.9
proteins,Machinga,96.9
proteins,Mangochi,95.69
proteins,Mangochi,95.69
proteins,Mchinji,96.22
proteins,Mchinji,96.22
proteins,Mulanje,98.41
proteins,Mulanje,98.41
proteins,Mwanza,97.18
proteins,Mwanza,97.18
proteins,Mzimba,96.32
proteins,Mzimba,96.32
proteins,Mzuzu City,97.62
proteins,Mzuzu City,97.62
proteins,Neno,98.08
proteins,Neno,98.08
proteins,Nkhata Bay,93.92
proteins,Nkhata Bay,93.92
proteins,Nkhotakota,94.12
proteins,Nkhotakota,94.12
proteins,Nsanje,97.47
proteins,Nsanje,97.47
proteins,Ntcheu,96.99
proteins,Ntcheu,96.99
proteins,Ntchisi,96.63
proteins,Ntchisi,96.63
proteins,Phalombe,98.17
proteins,Phalombe,98.17
proteins,Rumphi,97.91
proteins,Rumphi,97.91
proteins,Salima,96.52
proteins,Salima,96.52
proteins,Thyolo,97.05
proteins,Thyolo,97.05
proteins,Zomba,97.49
proteins,Zomba,97.49
proteins,Zomba City,98.01
proteins,Zomba City,98.01
