nutrient,district,value
riboflavin,Balaka,58.02
riboflavin,Balaka,58.02
riboflavin,Blantyre,58.12
riboflavin,Blantyre,58.12
riboflavin,Blantyre City,64.72
riboflavin,Blantyre City,64.72
riboflavin,Chikwawa,64.13
riboflavin,Chikwawa,64.13
riboflavin,Chiradzulu,61.88
riboflavin,Chiradzulu,61.88
riboflavin,Chitipa,61.77
riboflavin,Chitipa,61.77
riboflavin,Dedza,51.22
riboflavin,Dedza,51.22
riboflavin,Dowa,48.1
riboflavin,Dowa,48.1
riboflavin,Karonga,56.1
riboflavin,Karonga,56.1
riboflavin,Kasungu,52.3
riboflavin,Kasungu,52.3
riboflavin,Likoma,63.12
riboflavin,Likoma,63.12
riboflavin,Lilongwe,52.47
riboflavin,Lilongwe,52.47
riboflavin,Lilongwe City,58.54
riboflavin,Lilongwe City,58.54
riboflavin,Machinga,57.03
riboflavin,Machinga,57.03
riboflavin,Mangochi,57.86
riboflavin,Mangochi,57.86
riboflavin,Mchinji,51.82
riboflavin,Mchinji,51.82
riboflavin,Mulanje,73.81
riboflavin,Mulanje,73.81
riboflavin,Mwanza,58.4
riboflavin,Mwanza,58.4
riboflavin,Mzimba,56.26
riboflavin,Mzimba,56.26
riboflavin,Mzuzu City,62.13
riboflavin,Mzuzu City,62.13
riboflavin,Neno,63.63
riboflavin,Neno,63.63
riboflavin,Nkhata Bay,69.72
riboflavin,Nkhata Bay,69.72
riboflavin,Nkhotakota,58.11
riboflavin,Nkhotakota,58.11
riboflavin,Nsanje,62.37
riboflavin,Nsanje,62.37
riboflavin,Ntcheu,61.29
riboflavin,Ntcheu,61.29
riboflavin,Ntchisi,55.01
riboflavin,Ntchisi,55.01
riboflavin,Phalombe,73.37
riboflavin,Phalombe,73.37
riboflavin,Rumphi,65.83
riboflavin,Rumphi,65.83
riboflavin,Salima,55.55
riboflavin,Salima,55.55
riboflavin,Thyolo,64
riboflavin,Thyolo,64
riboflavin,Zomba,57.95
riboflavin,Zomba,57.95
riboflavin,Zomba City,63.15
riboflavin,Zomba City,63.15
